City_ID,City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (Unix)
0,castro,BR,-24.7911,-50.0119,72.86,57,100,6.78,1635017182
1,sur,OM,22.5667,59.5289,81.7,60,0,7.65,1635017341
2,torbay,CA,47.6666,-52.7314,63.37,90,75,13.8,1635017342
3,jamestown,US,42.097,-79.2353,51.39,92,90,5.01,1635017259
4,faya,SA,18.3851,42.4509,63.12,28,3,6.02,1635017344
5,puerto leguizamo,CO,-0.1934,-74.7819,92.71,43,82,4.12,1635017345
6,cherskiy,RU,68.75,161.3,-1.66,99,98,2.39,1635017345
7,balikpapan,ID,-1.2675,116.8289,75.76,90,100,2.66,1635017346
8,georgetown,MY,5.4112,100.3354,80.89,86,20,0,1635017347
9,rikitea,PF,-23.1203,-134.9692,74.77,82,96,20.58,1635017348
10,barrow,US,71.2906,-156.7887,28.42,86,90,17.27,1635017349
11,vardo,NO,70.3705,31.1107,33.89,74,100,16.58,1635017349
12,dikson,RU,73.5069,80.5464,9.82,87,98,12.91,1635017350
13,la brea,HN,15.8,-85.9667,87.31,62,75,5.75,1635017351
14,sawakin,SD,19.1059,37.3321,82.53,74,2,7.54,1635017352
15,vaini,TO,-21.2,-175.2,71.76,83,75,12.66,1635017353
16,estelle,US,29.8458,-90.1067,86,61,75,10.36,1635017353
17,salinas,US,36.6777,-121.6555,67.82,62,1,3.44,1635017354
18,bambous virieux,MU,-20.3428,57.7575,75.45,78,40,12.66,1635017325
19,hirara,JP,24.8,125.2833,76.15,62,100,14.05,1635017356
20,kapaa,US,22.0752,-159.319,80.58,80,20,4,1635017174
21,tilichiki,RU,60.4667,166.1,6.35,88,98,8.19,1635017357
22,atambua,ID,-9.1061,124.8925,75.99,84,46,2.13,1635017358
23,albany,US,42.6001,-73.9662,55.45,58,96,1.01,1635017177
24,haines junction,CA,60.7522,-137.5108,31.95,86,100,0,1635017360
25,smirnykh,RU,49.75,142.8333,30.18,89,2,3.69,1635017361
26,saint george,US,37.1041,-113.5841,77.47,22,1,7,1635017337
27,hauterive,FR,46.0901,3.4459,41.76,83,3,4.03,1635017362
28,makakilo city,US,21.3469,-158.0858,80.92,56,1,11.5,1635017363
29,yellowknife,CA,62.456,-114.3525,43.32,79,40,17.27,1635017364
30,nikolskoye,RU,59.7035,30.7861,36.88,88,100,9.06,1635017365
31,lapy,PL,52.9911,22.8842,41.49,82,95,12.21,1635017366
32,chuy,UY,-33.6971,-53.4616,64.08,63,100,0.81,1635017367
33,ilo,PE,-17.6394,-71.3375,65.26,68,0,11.5,1635017367
34,najran,SA,17.4924,44.1277,68.65,25,9,2.01,1635017368
35,alexandria,EG,31.2156,29.9553,71.56,60,40,8.05,1635017369
36,palmer,US,42.1584,-72.3287,61.65,48,40,1.01,1635017370
37,lat yao,TH,15.751,99.7893,73.56,91,21,2.8,1635017371
38,ushuaia,AR,-54.8,-68.3,33.46,93,75,29.93,1635017371
39,busselton,AU,-33.65,115.3333,52.09,79,100,5.64,1635017372
40,komsomolskiy,UZ,40.4272,71.7189,42.22,65,0,6.91,1635017373
41,flinders,AU,-34.5833,150.8552,62.2,86,78,4,1635017374
42,kangaatsiaq,GL,68.3065,-53.4641,27.81,76,100,8.23,1635017375
43,norman wells,CA,65.282,-126.8329,41.04,70,20,5.75,1635017375
44,punta arenas,CL,-53.15,-70.9167,44.71,49,75,36.82,1635017347
45,velyka bahachka,UA,49.7912,33.7226,43.83,54,0,6.46,1635017377
46,weihai,CN,37.5017,122.1136,52.52,62,1,4.56,1635017378
47,el alto,PE,-4.2714,-81.2147,71.26,69,99,16.78,1635017379
48,cape town,ZA,-33.9258,18.4232,60.28,71,75,1.01,1635017340
49,carnarvon,AU,-24.8667,113.6333,66.27,77,0,10.36,1635017318
50,port alfred,ZA,-33.5906,26.891,61.21,70,0,27.11,1635017110
51,kintampo,GH,8.0563,-1.7306,74.43,90,53,5.66,1635017383
52,kenai,US,60.5544,-151.2583,43.14,87,90,17.27,1635017383
53,danjiangkou,CN,32.5428,111.5086,51.62,67,5,2.89,1635017384
54,bredasdorp,ZA,-34.5322,20.0403,56.28,76,39,3.44,1635017385
55,the valley,AI,18.217,-63.0578,87.82,65,20,13.8,1635017340
56,cockburn town,TC,21.4612,-71.1419,85.96,62,75,11.5,1635017386
57,mahebourg,MU,-20.4081,57.7,75.49,78,40,12.66,1635017387
58,lebu,CL,-37.6167,-73.65,54.73,69,27,9.46,1635017334
